varnames,varlabs,t1,sig1_1,sig5_1,sig10_1
"s3_4_qtyused","(Cumin Seeds) Total kilos of GC_4 seeds used.",.2715564,0,0,0
"s3_5_qtyused","(Cumin Seeds) Total kilos of Rajasthan_Cumin seeds used.",.7992343,0,0,0
"s3_6_qtyused","(Cumin Seeds) Total kilos of Western seeds used.",.3869818,0,0,0
"rec3_seed_p","Purchased a recommended seed variety for wheat",.0279882,0,0,0
"rec3_seed_u","Used a recommended seed variety for wheat",.0829748,0,0,0
"rec3_seeds_kg","Quantity of recommended seeds purchased",.0244468,0,0,0
"rec3_seeds_cost","Total spent on recommended seeds",.0912707,0,0,0
"s2_1","(Wheat) What was the most important factor in determining which seed you used?",.5152355,0,0,0
"s2_3","(Wheat) Did you solicit or receive any advice on wheat seeds?",.2767113,0,0,0
"s2_41","(Wheat) What was the most important source of seed advice? - Source 1",1.061522,0,0,0
"s2_42","(Wheat) What was the most important source of seed advice? - Source 2",.493053,0,0,0
"s2_5","(Wheat) Did you purchase or reuse wheat seeds?",1.068622,0,0,0
"s2_9","(Wheat) Did you treat your seeds before planting?",.460275,0,0,0
"s2_10a","(Wheat) How did you treat your seeds? - Fungicides",.5061595,0,0,0
"s2_10b","(Wheat) How did you treat your seeds? - Pesticides",.4495955,0,0,0
"s2_10d1","(Wheat) How did you treat your seeds? - Other 1",.4421881,0,0,0
"s2_11","(Wheat) In last Rabi, did you use the broadcasting method for planting or did yo",.659435,0,0,0
"s2_12_inch","(Wheat) What was the spacing between the seeds in the same row? - In inches",.2375973,0,0,0
"s2_12_999","(Wheat) What was the spacing between the seeds in the same row? - Don't know",1.506776,0,0,0
"s2_1_factor_1","(Wheat) Was low_price the most important factor in determining which seed you us",.4495955,0,0,0
"s2_1_factor_2","(Wheat) Was pest_resistence the most important factor in determining which seed ",.5300928,0,0,0
"s2_1_factor_3","(Wheat) Was safe_yield the most important factor in determining which seed you u",1.262848,0,0,0
"s2_1_factor_4","(Wheat) Was high_yield the most important factor in determining which seed you u",.3825657,0,0,0
"s2_1_factor_6","(Wheat) Was water_requirements the most important factor in determining which se",.4340716,0,0,0
"s2_1_factor_7","(Wheat) Was what_friends_use the most important factor in determining which seed",.0048202,0,0,0
"s2_1_factor_8","(Wheat) Was availability the most important factor in determining which seed you",.8493668,0,0,0
"s2_1_factor_9","(Wheat) Was soil_fertility the most important factor in determining which seed y",.3741975,0,0,0
"s2_1_factor_10","(Wheat) Was gen_advice the most important factor in determining which seed you u",.7034969,0,0,0
"s2_1_factor_888","(Wheat) Was other the most important factor in determining which seed you used?",1.526292,0,0,0
"s2_41_1","(Wheat Seeds 1)Is your most imp source past experience?",.9969785,0,0,0
"s2_41_3","(Wheat Seeds 1)Is your most imp source cell phone based info?",1.944084,0,0,1
"s2_41_7","(Wheat Seeds 1)Is your most imp source other farmers?",1.110641,0,0,0
"s2_41_8","(Wheat Seeds 1)Is your most imp source agro shops?",.9969785,0,0,0
"s2_42_7","(Wheat Seeds 2)Is your most imp source other farmers?",.4495955,0,0,0
"s2_42_8","(Wheat Seeds 2)Is your most imp source agro shops?",.3061334,0,0,0
"s2_source_1","(Wheat Seeds) Is your most imp source past_experience?",.9969785,0,0,0
"s2_source_3","(Wheat Seeds) Is your most imp source cell_phone_info?",1.944084,0,0,1
"s2_source_7","(Wheat Seeds) Is your most imp source other_farmers?",1.192708,0,0,0
"s2_source_8","(Wheat Seeds) Is your most imp source agro_shops?",.4421881,0,0,0
"s2_5_seeds_1","(Wheat) Did you purchase_new seeds last Rabi?",.9322917,0,0,0
"s2_5_seeds_2","(Wheat) Did you reuse_old seeds last Rabi?",1.951859,0,0,1
"s2_5_seeds_3","(Wheat) Did you purchase&reuse seeds last Rabi?",1.416856,0,0,0
"s2_total_cost","(Wheat) Total cost of wheat seeds in R'10-11",.911356,0,0,0
"s2_tot_q_purchased","(Wheat) Total qty of wheat seeds purchased in R'10-11, Kilos",.3501891,0,0,0
"s2_tot_q_used","(Wheat) Total qty of wheat seeds used in R'10-11, Kilos",1.070594,0,0,0
"s2_11_method_1","(Wheat) Did you use the broadcasting method last Rabi for planting?",.137742,0,0,0
"s2_11_method_2","(Wheat) Did you plant seed in rows last Rabi?",.5968664,0,0,0
"s2_seed_1","(Wheat Seeds) Did you purchase GW_496?",2.050347,0,1,1
"s2_seed_2","(Wheat Seeds) Did you purchase GW_322?",1.000468,0,0,0
"s2_seed_4","(Wheat Seeds) Did you purchase GW_273?",.9997672,0,0,0
"s2_seed_5","(Wheat Seeds) Did you purchase LOK_1?",1.149693,0,0,0
"s2_seed_6","(Wheat Seeds) Did you purchase Sonalika?",.3779225,0,0,0
"s2_seed_7","(Wheat Seeds) Did you purchase Tukda/Tukri?",.0204883,0,0,0
"s2_seeduse_1","(Wheat Seeds) Did you use GW_496?",.8646674,0,0,0
"s2_seeduse_2","(Wheat Seeds) Did you use GW_322?",1.000468,0,0,0
"s2_seeduse_4","(Wheat Seeds) Did you use GW_273?",.9997672,0,0,0
"s2_seeduse_5","(Wheat Seeds) Did you use LOK_1?",.3158826,0,0,0
"s2_seeduse_6","(Wheat Seeds) Did you use Sonalika?",.262092,0,0,0
"s2_seeduse_7","(Wheat Seeds) Did you use Tukda/Tukri?",.4213527,0,0,0
"s2_1_kilo","(Wheat Seeds) How many kilos of GW_496 seeds did you purchase?",.7794306,0,0,0
"s2_2_kilo","(Wheat Seeds) How many kilos of GW_322 seeds did you purchase?",1.000468,0,0,0
"s2_4_kilo","(Wheat Seeds) How many kilos of GW_273 seeds did you purchase?",.9997672,0,0,0
"s2_5_kilo","(Wheat Seeds) How many kilos of LOK_1 seeds did you purchase?",.2291121,0,0,0
"s2_6_kilo","(Wheat Seeds) How many kilos of Sonalika seeds did you purchase?",.459501,0,0,0
"s2_7_kilo","(Wheat Seeds) How many kilos of Tukda/Tukri seeds did you purchase?",.0793597,0,0,0
"s2_1_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of GW_496 seeds?",2.1385,0,1,1
"s2_2_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of GW_322 seeds?",1.000468,0,0,0
"s2_5_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of LOK_1 seeds?",.0326195,0,0,0
"s2_6_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of Sonalika seeds?",.0103785,0,0,0
"s2_7_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of Tukda/Tukri seeds?",1.016127,0,0,0
"s2_1_pktqtyused","(Wheat Seeds) How many kilos of GW_496 seeds/packet?",.177236,0,0,0
"s2_4_pktqtyused","(Wheat Seeds) How many kilos of GW_273 seeds/packet?",.9997672,0,0,0
"s2_5_pktqtyused","(Wheat Seeds) How many kilos of LOK_1 seeds/packet?",1.005453,0,0,0
"s2_6_pktqtyused","(Wheat Seeds) How many kilos of Sonalika seeds/packet?",.7262542,0,0,0
"s2_7_pktqtyused","(Wheat Seeds) How many kilos of Tukda/Tukri seeds/packet?",.256258,0,0,0
"s2_1_qtyused","(Wheat Seeds) Total kilos of GW_496 seeds used.",.9680907,0,0,0
"s2_2_qtyused","(Wheat Seeds) Total kilos of GW_322 seeds used.",1.000468,0,0,0
"s2_4_qtyused","(Wheat Seeds) Total kilos of GW_273 seeds used.",.9997672,0,0,0
"s2_5_qtyused","(Wheat Seeds) Total kilos of LOK_1 seeds used.",1.239258,0,0,0
"s2_6_qtyused","(Wheat Seeds) Total kilos of Sonalika seeds used.",.3695871,0,0,0
"s2_7_qtyused","(Wheat Seeds) Total kilos of Tukda/Tukri seeds used.",.5571418,0,0,0
"rec2_seeds_p","Number of recommended seed varieties purchased for wheat",.0259333,0,0,0
"rec2_seed_p","Purchased a recommended seed variety for wheat",.0265651,0,0,0
"rec2_seeds_u","Number of recommended seed varieties used for wheat",.59627,0,0,0
"rec2_seed_u","Used a recommended seed variety for wheat",.6242792,0,0,0
"rec2_seeds_kg","Quantity of recommended seeds purchased",.2228804,0,0,0
"rec2_seeds_cost","Total spent on recommended seeds",1.015775,0,0,0
"s1_1","(Cotton) What was the most important factor in determining which seed you used?",.2048199,0,0,0
"s1_3","(Cotton) Did you solicit or receive any advice on cotton seeds?",1.607801,0,0,0
"s1_41","(Cotton) What was the most important source of seed advice? - Source 1",4.547172,1,1,1
"s1_42","(Cotton) What was the most important source of seed advice? - Source 2",2.947116,1,1,1
"s1_5","(Cotton) Did you purchase or reuse cotton seeds?",.2401351,0,0,0
"s1_9","(Cotton) Did you treat your seeds before planting?",.6503333,0,0,0
"s1_10a","(Cotton) How did you treat your seeds? - Fungicides",2.241783,0,1,1
"s1_10b","(Cotton) How did you treat your seeds? - Pesticides",.3741975,0,0,0
"s1_10d1","(Cotton) How did you treat your seeds? - Other 1",.3741975,0,0,0
"s1_11_inch","(Cotton) At what depth did you sow the cotton seeds? - In inches",.801423,0,0,0
"s1_12_inch","(Cotton) What was the spacing between the seeds in the same row? - In inches",2.342081,0,1,1
"s1_13_inch","(Cotton) What was the spacing between the rows? - In inches",.4843208,0,0,0
"s1_13_999","(Cotton) What was the spacing between the rows? - Don't know",1.000468,0,0,0
"s1_1_factor_1","(Cotton) Was low_price the most important factor in determining which seed you u",.0034036,0,0,0
"s1_1_factor_2","(Cotton) Was pest_resistence the most important factor in determining which seed",.4060695,0,0,0
"s1_1_factor_3","(Cotton) Was safe_yield the most important factor in determining which seed you ",.6917897,0,0,0
"s1_1_factor_4","(Cotton) Was high_yield the most important factor in determining which seed you ",1.063856,0,0,0
"s1_1_factor_5","(Cotton) Was few_inputs the most important factor in determining which seed you ",2.003713,0,1,1
"s1_1_factor_6","(Cotton) Was water_requirements the most important factor in determining which s",2.302615,0,1,1
"s1_1_factor_7","(Cotton) Was what_friends_use the most important factor in determining which see",.0933421,0,0,0
"s1_1_factor_8","(Cotton) Was availability the most important factor in determining which seed yo",.9969785,0,0,0
"s1_1_factor_9","(Cotton) Was soil_fertilizer the most important factor in determining which seed",.6283519,0,0,0
"s1_1_factor_10","(Cotton) Was gen_advice the most important factor in determining which seed you ",.6171141,0,0,0
"s1_1_factor_888","(Cotton) Was other the most important factor in determining which seed you used?",.5502723,0,0,0
"s1_1_factor_999","(Cotton) Was don't_know the most important factor in determining which seed you ",.9026012,0,0,0
"s1_41_1","(Cotton Seeds 1) Is your most imp source past experience?",.5300928,0,0,0
"s1_41_2","(Cotton Seeds 1) Is your most imp source TV program?",.9997672,0,0,0
"s1_41_3","(Cotton Seeds 1) Is your most imp source cell phone based info?",7.541009,1,1,1
"s1_41_6","(Cotton Seeds 1) Is your most imp source NGOs?",1.416856,0,0,0
"s1_41_7","(Cotton Seeds 1) Is your most imp source other farmers?",.316838,0,0,0
"s1_41_8","(Cotton Seeds 1) Is your most imp source agro shops?",1.788556,0,0,1
"s1_42_1","(Cotton Seeds 2) Is your most imp source past experience?",.2414309,0,0,0
"s1_42_3","(Cotton Seeds 2) Is your most imp source cell phone based info?",3.182575,1,1,1
"s1_42_6","(Cotton Seeds 2) Is your most imp source NGOs?",1.000488,0,0,0
"s1_42_7","(Cotton Seeds 2) Is your most imp source other farmers?",2.589581,1,1,1
"s1_42_8","(Cotton Seeds 2) Is your most imp source agro shops?",.6459221,0,0,0
"s1_source_1","(Cotton Seeds) Is your most imp source past_experience?",.1727267,0,0,0
"s1_source_2","(Cotton Seeds) Is your most imp source TV?",.9997672,0,0,0
"s1_source_3","(Cotton Seeds) Is your most imp source cell_phone_info?",8.284837,1,1,1
"s1_source_6","(Cotton Seeds) Is your most imp source NGOs?",1.737722,0,0,1
"s1_source_7","(Cotton Seeds) Is your most imp source other_farmers?",1.377552,0,0,0
"s1_source_8","(Cotton Seeds) Is your most imp source agro_shops?",1.940291,0,0,1
"s1_5_seeds_1","(Cotton) Did you purchase_new seeds last Kharif?",.6088191,0,0,0
"s1_5_seeds_2","(Cotton) Did you reuse_old seeds last Kharif?",1.506776,0,0,0
"s1_5_seeds_3","(Cotton) Did you purchase&reuse seeds last Kharif?",.0048202,0,0,0
"s1_total_cost","(Cotton) Total cost of cotton seeds in K'11",1.873526,0,0,1
"s1_tot_q_purchased","(Cotton) Total qty of cotton seeds purchased in K'11, Kilos",.7450587,0,0,0
"s1_tot_q_used","(Cotton) Total qty of cotton seeds used in K'11, Kilos",1.071862,0,0,0
"s1_seed_1","(Cotton Seeds) Did you purchase Vikram?",1.856707,0,0,1
"s1_seed_2","(Cotton Seeds) Did you purchase Rasi?",.2859954,0,0,0
"s1_seed_3","(Cotton Seeds) Did you purchase Ajit?",.2133354,0,0,0
"s1_seed_4","(Cotton Seeds) Did you purchase Navbharat?",.2307854,0,0,0
"s1_seed_5","(Cotton Seeds) Did you purchase Tulsi?",.7665994,0,0,0
"s1_seed_6","(Cotton Seeds) Did you purchase Ankur?",.7780779,0,0,0
"s1_seed_7","(Cotton Seeds) Did you purchase Nath?",1.003488,0,0,0
"s1_seed_9","(Cotton Seeds) Did you purchase Ganga_kaveri?",.7219844,0,0,0
"s1_seeduse_1","(Cotton Seeds) Did you use Vikram?",1.986609,0,1,1
"s1_seeduse_2","(Cotton Seeds) Did you use Rasi?",.2841397,0,0,0
"s1_seeduse_3","(Cotton Seeds) Did you use Ajit?",.3111981,0,0,0
"s1_seeduse_4","(Cotton Seeds) Did you use Navbharat?",.4204032,0,0,0
"s1_seeduse_5","(Cotton Seeds) Did you use Tulsi?",.7665994,0,0,0
"s1_seeduse_6","(Cotton Seeds) Did you use Ankur?",.7780779,0,0,0
"s1_seeduse_7","(Cotton Seeds) Did you use Nath?",1.003488,0,0,0
"s1_seeduse_9","(Cotton Seeds) Did you use Ganga_kaveri?",.7219844,0,0,0
"s1_1_kilo","(Cotton Seeds) How many kilos of Vikram seeds did you purchase?",1.513765,0,0,0
"s1_2_kilo","(Cotton Seeds) How many kilos of Rasi seeds did you purchase?",.9798887,0,0,0
"s1_3_kilo","(Cotton Seeds) How many kilos of Ajit seeds did you purchase?",1.502389,0,0,0
"s1_4_kilo","(Cotton Seeds) How many kilos of Navbharat seeds did you purchase?",1.048671,0,0,0
"s1_5_kilo","(Cotton Seeds) How many kilos of Tulsi seeds did you purchase?",1.009651,0,0,0
"s1_6_kilo","(Cotton Seeds) How many kilos of Ankur seeds did you purchase?",.4750846,0,0,0
"s1_7_kilo","(Cotton Seeds) How many kilos of Nath seeds did you purchase?",1.003488,0,0,0
"s1_9_kilo","(Cotton Seeds) How many kilos of Ganga_kaveri seeds did you purchase?",2.240798,0,1,1
"s1_1_totalrs","(Cotton Seeds) Total spent on Vikram seeds?",1.625586,0,0,0
"s1_2_totalrs","(Cotton Seeds) Total spent on Rasi seeds?",.4885984,0,0,0
"s1_3_totalrs","(Cotton Seeds) Total spent on Ajit seeds?",.9167692,0,0,0
"s1_4_totalrs","(Cotton Seeds) Total spent on Navbharat seeds?",.7468356,0,0,0
"s1_5_totalrs","(Cotton Seeds) Total spent on Tulsi seeds?",.8004147,0,0,0
"s1_6_totalrs","(Cotton Seeds) Total spent on Ankur seeds?",.4244078,0,0,0
"s1_7_totalrs","(Cotton Seeds) Total spent on Nath seeds?",1.067888,0,0,0
"s1_9_totalrs","(Cotton Seeds) Total spent on Ganga_kaveri seeds?",1.729064,0,0,1
"s1_1_pktqtyused","(Cotton Seeds) How many kilos of Vikram seeds/packet?",2.197303,0,1,1
"s1_2_pktqtyused","(Cotton Seeds) How many kilos of Rasi seeds/packet?",.2158723,0,0,0
"s1_3_pktqtyused","(Cotton Seeds) How many kilos of Ajit seeds/packet?",.7340789,0,0,0
"s1_4_pktqtyused","(Cotton Seeds) How many kilos of Navbharat seeds/packet?",1.126517,0,0,0
"s1_5_pktqtyused","(Cotton Seeds) How many kilos of Tulsi seeds/packet?",1.072275,0,0,0
"s1_6_pktqtyused","(Cotton Seeds) How many kilos of Ankur seeds/packet?",.6763191,0,0,0
"s1_7_pktqtyused","(Cotton Seeds) How many kilos of Nath seeds/packet?",1.003488,0,0,0
"s1_9_pktqtyused","(Cotton Seeds) How many kilos of Ganga_kaveri seeds/packet?",.6979885,0,0,0
"s1_1_qtyused","(Cotton Seeds) Total kilos of Vikram seeds used.",1.600119,0,0,0
"s1_2_qtyused","(Cotton Seeds) Total kilos of Rasi seeds used.",.4324853,0,0,0
"s1_3_qtyused","(Cotton Seeds) Total kilos of Ajit seeds used.",1.475899,0,0,0
"s1_4_qtyused","(Cotton Seeds) Total kilos of Navbharat seeds used.",1.449961,0,0,0
"s1_5_qtyused","(Cotton Seeds) Total kilos of Tulsi seeds used.",1.260656,0,0,0
"s1_6_qtyused","(Cotton Seeds) Total kilos of Ankur seeds used.",.5310534,0,0,0
"s1_7_qtyused","(Cotton Seeds) Total kilos of Nath seeds used.",1.003488,0,0,0
"s1_9_qtyused","(Cotton Seeds) Total kilos of Ganga_kaveri seeds used.",2.221707,0,1,1
"rec1_seeds_p","Number of recommended seed varieties purchased for cotton",1.541423,0,0,0
"rec1_seed_p","Purchased a recommended seed variety for cotton",.8314753,0,0,0
"rec1_seeds_u","Number of recommended seed varieties used for cotton",1.709332,0,0,1
"rec1_seed_u","Used a recommended seed variety for cotton",1.27671,0,0,0
"rec1_seeds_kg","Quantity of recommended seeds purchased",1.344401,0,0,0
"rec1_seeds_cost","Total spent on recommended seeds",2.43265,0,1,1
"p3_0","(Cumin) Did you solicit or receive any advice for cumin pesticides in R'11?",.9602989,0,0,0
"p3_11","(Cumin) What were the two most important sources of advice?- First",3.701215,1,1,1
"p3_12","(Cumin) What were the two most important sources of advice?- Second",1.598771,0,0,0
"p3_2","(Cumin) Did you use any pesticides with your cumin crop?",.4680055,0,0,0
"p3_71_3","(Cumin) Did you purchase -monocortophos?",.4408064,0,0,0
"p3_71_3_qty","(Cumin) What was the qty of mono purchased in R'11- Liters?",.178279,0,0,0
"p3_71_3_cost","(Cumin) What was the total cost in Rs. of pesticide monocortophos?",1.23019,0,0,0
"p3_71_3_use","(Cumin) Did you use monocortophos",.5391626,0,0,0
"p3_71_3_use_qty","(Cumin) How much of mono did you use in R'11- Liters?",.4881693,0,0,0
"p3_71_6","(Cumin) Did you purchase -phosphamidon?",.1018005,0,0,0
"p3_71_6_qty","(Cumin) What was the qty of phosphamidon purchased in R'11- Liters?",.2625208,0,0,0
"p3_71_6_cost","(Cumin) What was the total cost in Rs. of pesticide phosphamidon?",.4521274,0,0,0
"p3_71_6_use","(Cumin) Did you use phosphamidon",.2239158,0,0,0
"p3_71_6_use_qty","(Cumin) How much of phosphamidon did you use in R'11- Liters?",.2820843,0,0,0
"p3_71_7","(Cumin) Did you purchase -dimethoate?",.5726582,0,0,0
"p3_71_7_qty","(Cumin) What was the qty of dimethoate purchased in R'11- Liters?",.1201412,0,0,0
"p3_71_7_cost","(Cumin) What was the total cost in Rs. of pesticide dimethoate?",.082675,0,0,0
"p3_71_7_use","(Cumin) Did you use dimethoate",1.0402,0,0,0
"p3_71_7_use_qty","(Cumin) How much of dimethoate did you use in R'11- Liters?",.0270159,0,0,0
"p3_71_8","(Cumin) Did you purchase -imida?",.1922577,0,0,0
"p3_71_8_qty","(Cumin) What was the qty of imida purchased in R'11- Liters?",1.084608,0,0,0
"p3_71_8_cost","(Cumin) What was the total cost in Rs. of pesticide imida?",1.571713,0,0,0
"p3_71_8_use","(Cumin) Did you use imida",.2938641,0,0,0
"p3_71_8_use_qty","(Cumin) How much of imida did you use in R'11- Liters?",1.097063,0,0,0
"p3_71_9","(Cumin) Did you purchase -acetamaprid?",.5957212,0,0,0
"p3_71_9_qty","(Cumin) What was the qty of acetamaprid purchased in R'11- Kg?",.5974698,0,0,0
"p3_71_9_cost","(Cumin) What was the total cost in Rs. of pesticide acetamaprid?",.9879597,0,0,0
"p3_71_9_use","(Cumin) Did you use acetamaprid",.3154632,0,0,0
"p3_71_9_use_qty","(Cumin) How much of acetamaprid did you use in R'11- Kg?",.4036098,0,0,0
"p3_71_10","(Cumin) Did you purchase -acephat?",.3983935,0,0,0
"p3_71_10_qty","(Cumin) What was the qty of acephat purchased in R'11- Kg?",.114172,0,0,0
"p3_71_10_cost","(Cumin) What was the total cost in Rs. of pesticide acephat?",.140457,0,0,0
"p3_71_10_use","(Cumin) Did you use acephat",.51632,0,0,0
"p3_71_10_use_qty","(Cumin) How much of acephat did you use in R'11- Kg?",.398549,0,0,0
"p3_71_16","(Cumin) Did you purchase -mancozeb?",.3573023,0,0,0
"p3_71_16_qty","(Cumin) What was the qty of mancozeb purchased in R'11- Kg?",.1770312,0,0,0
"p3_71_16_cost","(Cumin) What was the total cost in Rs. of pesticide mancozeb?",.1831174,0,0,0
"p3_71_16_use","(Cumin) Did you use mancozeb",.224954,0,0,0
"p3_71_16_use_qty","(Cumin) How much of mancozeb did you use in R'11- Kg?",.1774672,0,0,0
"p3_8c1","(Cumin) Did you purchase -carbendazim?",.9969785,0,0,0
"p3_8c1_qty","(Cumin) What was the qty of Carbendazim purchased in R'11- Kg?",1.667847,0,0,1
"p3_8c1_rstotal","(Cumin) What was the total cost in Rs. of pesticide carbendazim?",1.292433,0,0,0
"p3_8c1_qtyused","(Cumin) How much of Carbendazim did you use in R'11- Kg?",1.667847,0,0,1
"p3_71_20","(Cumin) Did you purchase -sulphur?",.2420515,0,0,0
