varnames,varlabs,t1,sig1_1,sig5_1,sig10_1
"s2_source_7","(Wheat Seeds) Is your most imp source other_farmers?",.0079974,0,0,0
"s2_source_8","(Wheat Seeds) Is your most imp source agro_shops?",.1518761,0,0,0
"s2_5_seeds_1","(Wheat) Did you purchase_new seeds last Rabi?",1.217754,0,0,0
"s2_5_seeds_2","(Wheat) Did you reuse_old seeds last Rabi?",.5794017,0,0,0
"s2_5_seeds_3","(Wheat) Did you purchase&reuse seeds last Rabi?",1.733989,0,0,1
"s2_61_rstot","(Wheat) Total cost of variety of wheat seed - 1",1.320046,0,0,0
"s2_62_rstot","(Wheat) Total cost of variety of wheat seed - 2",.9997777,0,0,0
"s2_total_cost","(Wheat) Total cost of wheat seeds in R'10-11",1.31375,0,0,0
"s2_tot_q_purchased","(Wheat) Total qty of wheat seeds purchased in R'10-11, Kilos",.6892833,0,0,0
"s2_11_method_1","(Wheat) Did you use the broadcasting method last Rabi for planting?",.4277056,0,0,0
"s2_11_method_2","(Wheat) Did you plant seed in rows last Rabi?",.483588,0,0,0
"s2_61_seed_1","(Wheat Seeds) Did you purchase GW_496?",.5854738,0,0,0
"s2_61_seed_4","(Wheat Seeds) Did you purchase GW_273?",.9997777,0,0,0
"s2_61_seed_5","(Wheat Seeds) Did you purchase LOK_1?",.418283,0,0,0
"s2_61_seed_6","(Wheat Seeds) Did you purchase Sonalika?",.3134423,0,0,0
"s2_61_seed_7","(Wheat Seeds) Did you purchase Tukda/Tukri?",1.348032,0,0,0
"s2_seed_1","(Wheat Seeds) Did you purchase GW_496?",.5854738,0,0,0
"s2_seed_4","(Wheat Seeds) Did you purchase GW_273?",.9997777,0,0,0
"s2_seed_5","(Wheat Seeds) Did you purchase LOK_1?",.418283,0,0,0
"s2_seed_6","(Wheat Seeds) Did you purchase Sonalika?",.3134423,0,0,0
"s2_seed_7","(Wheat Seeds) Did you purchase Tukda/Tukri?",1.348032,0,0,0
"s2_71_seeduse_1","(Wheat Seeds) Did you use GW_496?",.5390044,0,0,0
"s2_71_seeduse_3","(Wheat Seeds) Did you use GW_173?",1.000369,0,0,0
"s2_71_seeduse_4","(Wheat Seeds) Did you use GW_273?",.9997777,0,0,0
"s2_71_seeduse_5","(Wheat Seeds) Did you use LOK_1?",.4747164,0,0,0
"s2_71_seeduse_6","(Wheat Seeds) Did you use Sonalika?",.1624543,0,0,0
"s2_71_seeduse_7","(Wheat Seeds) Did you use Tukda/Tukri?",.7994853,0,0,0
"s2_72_seeduse_1","(Wheat Seeds) Did you use GW_496?",1.000444,0,0,0
"s2_72_seeduse_7","(Wheat Seeds) Did you use Tukda/Tukri?",.9997777,0,0,0
"s2_seeduse_1","(Wheat Seeds) Did you use GW_496?",.2646741,0,0,0
"s2_seeduse_3","(Wheat Seeds) Did you use GW_173?",1.000369,0,0,0
"s2_seeduse_4","(Wheat Seeds) Did you use GW_273?",.9997777,0,0,0
"s2_seeduse_5","(Wheat Seeds) Did you use LOK_1?",.4747164,0,0,0
"s2_seeduse_6","(Wheat Seeds) Did you use Sonalika?",.1624543,0,0,0
"s2_seeduse_7","(Wheat Seeds) Did you use Tukda/Tukri?",.7162248,0,0,0
"s2_1_pkt","(Wheat Seeds) How many packets of GW_496 seeds did you purchase?",.6137947,0,0,0
"s2_5_pkt","(Wheat Seeds) How many packets of LOK_1 seeds did you purchase?",.7600866,0,0,0
"s2_6_pkt","(Wheat Seeds) How many packets of Sonalika seeds did you purchase?",.9996488,0,0,0
"s2_7_pkt","(Wheat Seeds) How many packets of Tukda/Tukri seeds did you purchase?",.0049173,0,0,0
"s2_1_pricepkt","(Wheat Seeds) How much was one packet of GW_496 seeds?",.8875957,0,0,0
"s2_5_pricepkt","(Wheat Seeds) How much was one packet of LOK_1 seeds?",.8484681,0,0,0
"s2_6_pricepkt","(Wheat Seeds) How much was one packet of Sonalika seeds?",.9996488,0,0,0
"s2_7_pricepkt","(Wheat Seeds) How much was one packet of Tukda/Tukri seeds?",1.094787,0,0,0
"s2_1_totalrspkt","(Wheat Seeds) How much did you spend on the packets of GW_496 seeds?",.252021,0,0,0
"s2_5_totalrspkt","(Wheat Seeds) How much did you spend on the packets of LOK_1 seeds?",1.086875,0,0,0
"s2_6_totalrspkt","(Wheat Seeds) How much did you spend on the packets of Sonalika seeds?",.9997777,0,0,0
"s2_7_totalrspkt","(Wheat Seeds) How much did you spend on the packets of Tukda/Tukri seeds?",.1883937,0,0,0
"s2_1_kilo","(Wheat Seeds) How many kilos of GW_496 seeds did you purchase?",.4902337,0,0,0
"s2_5_kilo","(Wheat Seeds) How many kilos of LOK_1 seeds did you purchase?",.3998861,0,0,0
"s2_6_kilo","(Wheat Seeds) How many kilos of Sonalika seeds did you purchase?",.9997777,0,0,0
"s2_7_kilo","(Wheat Seeds) How many kilos of Tukda/Tukri seeds did you purchase?",.0463766,0,0,0
"s2_1_pricekilo","(Wheat Seeds) How much was one kilo of GW_496 seeds?",1.000696,0,0,0
"s2_5_pricekilo","(Wheat Seeds) How much was one kilo of LOK_1 seeds?",.4447858,0,0,0
"s2_6_pricekilo","(Wheat Seeds) How much was one kilo of Sonalika seeds?",.1905702,0,0,0
"s2_7_pricekilo","(Wheat Seeds) How much was one kilo of Tukda/Tukri seeds?",1.413568,0,0,0
"s2_1_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of GW_496 seeds?",1.162914,0,0,0
"s2_4_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of GW_273 seeds?",.9997777,0,0,0
"s2_5_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of LOK_1 seeds?",.3273059,0,0,0
"s2_6_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of Sonalika seeds?",.7146363,0,0,0
"s2_7_totalrskilo","(Wheat Seeds) How much did you spend on all the kilos of Tukda/Tukri seeds?",1.334986,0,0,0
"s2_1_totalrs","(Wheat Seeds) Total spent on GW_496 seeds?",.584984,0,0,0
"s2_4_totalrs","(Wheat Seeds) Total spent on GW_273 seeds?",.9997777,0,0,0
"s2_5_totalrs","(Wheat Seeds) Total spent on LOK_1 seeds?",.0100342,0,0,0
"s2_6_totalrs","(Wheat Seeds) Total spent on Sonalika seeds?",.6032585,0,0,0
"s2_7_totalrs","(Wheat Seeds) Total spent on Tukda/Tukri seeds?",1.152296,0,0,0
"s2_1_pktused","(Wheat Seeds) How many packets of GW_496 seeds did you use?",.5398913,0,0,0
"s2_5_pktused","(Wheat Seeds) How many packets of LOK_1 seeds did you use?",.684,0,0,0
"s2_6_pktused","(Wheat Seeds) How many packets of Sonalika seeds did you use?",1.342295,0,0,0
"s2_7_pktused","(Wheat Seeds) How many packets of Tukda/Tukri seeds did you use?",.0049173,0,0,0
"s2_1_pktqtyused","(Wheat Seeds) How many kilos of GW_496 seeds/packet?",1.144477,0,0,0
"s2_5_pktqtyused","(Wheat Seeds) How many kilos of LOK_1 seeds/packet?",.1448048,0,0,0
"s2_6_pktqtyused","(Wheat Seeds) How many kilos of Sonalika seeds/packet?",.9996488,0,0,0
"s2_7_pktqtyused","(Wheat Seeds) How many kilos of Tukda/Tukri seeds/packet?",1.440173,0,0,0
"s2_1_qtyused","(Wheat Seeds) Total kilos of GW_496 seeds used.",.4073073,0,0,0
"s2_5_qtyused","(Wheat Seeds) Total kilos of LOK_1 seeds used.",.2052332,0,0,0
"s2_6_qtyused","(Wheat Seeds) Total kilos of Sonalika seeds used.",1.022031,0,0,0
"s2_7_qtyused","(Wheat Seeds) Total kilos of Tukda/Tukri seeds used.",.0531491,0,0,0
"rec2_seeds_p","Number of recommended seed varieties purchased for wheat",.1127787,0,0,0
"rec2_seed_p","Purchased a recommended seed variety for wheat",.1127787,0,0,0
"rec2_seeds_u","Number of recommended seed varieties used for wheat",.3627877,0,0,0
"rec2_seed_u","Used a recommended seed variety for wheat",.3627877,0,0,0
